City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,butaritari,12,KI,1518325151,100,3.07,172.79,82.81,15.05
1,hobart,40,AU,1518323400,34,-42.88,147.33,66.2,17.22
2,ushuaia,0,AR,1518321600,75,-54.81,-68.31,42.8,24.16
3,mataura,92,NZ,1518325152,95,-46.19,168.86,62.88,2.64
4,rokytne,76,UA,1518325152,95,51.27,27.23,24.09,3.2
5,hithadhoo,80,MV,1518325153,100,-0.6,73.08,82.77,1.97
6,saint george,75,GR,1518322800,87,39.45,22.34,44.6,16.11
7,bajil,0,ES,1518325153,78,38.23,-2.07,36.91,10.8
8,vila velha,20,BR,1518325200,88,-3.71,-38.6,77.0,3.36
9,mareeba,20,AU,1518321600,66,-16.99,145.42,84.2,10.29
10,albany,90,US,1518324240,93,42.65,-73.75,39.2,4.7
11,faya,0,SA,1518321600,48,18.39,42.45,51.8,4.65
12,ponta do sol,44,BR,1518325155,94,-20.63,-46.0,65.04,3.2
13,hasaki,75,JP,1518321600,50,35.73,140.83,55.4,2.24
14,barra do garcas,64,BR,1518325156,93,-15.89,-52.26,70.44,2.75
15,carnarvon,68,ZA,1518325157,69,-30.97,22.13,63.46,13.49
16,tuatapere,36,NZ,1518325157,88,-46.13,167.69,64.59,3.65
17,konevo,92,BG,1518325157,98,41.67,25.61,32.28,13.49
18,edd,0,ER,1518325158,21,13.93,41.69,75.43,3.42
19,avarua,90,CK,1518321600,94,-21.21,-159.78,75.2,3.36
20,port alfred,100,ZA,1518325005,100,-33.59,26.89,65.67,8.01
21,cape town,0,ZA,1518321600,67,-33.93,18.42,57.2,5.82
22,karlivka,88,UA,1518325160,98,49.46,35.11,32.59,10.58
23,mehriz,0,IR,1518323400,48,31.58,54.44,41.0,2.24
24,kaspiyskiy,8,RU,1518325160,88,45.39,47.37,21.57,16.17
25,hermanus,20,ZA,1518325161,71,-34.42,19.24,59.68,7.23
26,puerto ayora,0,EC,1518325162,100,-0.74,-90.35,75.03,5.99
27,cabo san lucas,5,MX,1518320940,49,22.89,-109.91,69.8,13.82
28,elliot,92,ZA,1518325163,89,-31.33,27.85,56.04,4.21
29,bandarbeyla,0,SO,1518325163,100,9.49,50.81,74.58,10.02
30,kodiak,90,US,1518321180,61,39.95,-94.76,15.8,12.75
31,chichli,8,IN,1518325164,60,22.83,78.82,79.62,2.64
32,acapulco,40,MX,1518320880,88,16.86,-99.88,78.8,2.24
33,conceicao do araguaia,92,BR,1518325165,99,-8.26,-49.26,72.51,3.65
34,isangel,48,VU,1518325032,100,-19.55,169.27,80.11,10.69
35,waddan,0,LY,1518325166,75,29.16,16.14,30.21,2.64
36,jacareacanga,92,BR,1518325166,100,-6.22,-57.76,71.56,1.63
